0,1,2,3,4,5,6
462250,João Félix,Atlético Madrid,242444,João Félix,Atlético Madrid,0.0
125781,Antoine Griezmann,FC Barcelona,194765,A. Griezmann,FC Barcelona,6.0
50202,Eden Hazard,Real Madrid,183277,E. Hazard,Real Madrid,3.0
177907,Harry Maguire,Manchester United,203263,H. Maguire,Manchester United,4.0
326031,Matthijs de Ligt,Juventus FC,235243,M. de Ligt,Juventus,10.0
281963,Lucas Hernández,Bayern Munich,220814,L. Hernández,FC Bayern München,11.0
343052,Nicolas Pépé,Arsenal FC,226110,N. Pépé,Arsenal,9.0
326330,Frenkie de Jong,FC Barcelona,228702,F. de Jong,FC Barcelona,6.0
357565,Rodri,Manchester City,231866,Rodri,Manchester City,0.0
182712,João Cancelo,Manchester City,210514,João Cancelo,Manchester City,0.0
96341,Romelu Lukaku,Inter Milan,192505,R. Lukaku,Inter,11.0
257462,Luka Jovic,Real Madrid,232432,L. Jović,Real Madrid,4.0
450936,Tanguy Ndombélé,Tottenham Hotspur,235569,T. Ndombele,Tottenham Hotspur,7.0
477758,Aaron Wan-Bissaka,Manchester United,229880,A. Wan-Bissaka,Manchester United,4.0
401530,Éder Militão,Real Madrid,240130,Éder Militão,Real Madrid,0.0
291417,Ferland Mendy,Real Madrid,228618,F. Mendy,Real Madrid,6.0
412363,Rodrygo,Real Madrid,243812,Rodrygo,Real Madrid,0.0
51471,Mateo Kovacic,Chelsea FC,207410,M. Kovačić,Chelsea,9.0
249565,Youri Tielemans,Leicester City,216393,Y. Tielemans,Leicester City,4.0
333241,Joelinton,Newcastle United,223334,Joelinton,Newcastle United,0.0
181375,Sébastien Haller,West Ham United,205693,S. Haller,West Ham United,8.0
323704,Malcom,Zenit St. Petersburg,228971,Jano,SV Mattersburg,15.0
146854,Wissam Ben Yedder,AS Monaco,199451,W. Ben Yedder,AS Monaco,5.0
206040,Raúl Jiménez,Wolverhampton Wanderers,204838,R. Jiménez,Wolverhampton Wanderers,3.0
316889,Hirving Lozano,SSC Napoli,217870,G. Di Lorenzo,Napoli,13.0
